         225759 function calls (216231 primitive calls) in 6.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2467(pack_configure)
     1300    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:315(__getattr__)
      276    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:666(<lambda>)
      142    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:692(deletecommand)
       34    0.000    0.000    0.001    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\pydevd.py:1480(has_user_threads_alive)
      200    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\queue.py:209(_qsize)
        3    0.000    0.000    0.001    0.000 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_net_command.py:58(__init__)
      155    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\utils.py:676(str2mac)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.001    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\ttk.py:1160(__init__)
      504    0.001    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:3117(__setattr__)
       72    0.000    0.000    0.001    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\fields.py:1785(getfield)
        2    0.000    0.000    0.001    0.000 {built-in method builtins.exec}
        7    0.000    0.000    0.000    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:3635(__init__)
